frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label
7.000000000000001e-06,56.609846,54,192.168.1.90,192.168.1.91,54572,1883,0x00000010,7.000000000000001e-06,0,13405,0.0,0.0,0.0,0.0,1,0,0,0,0,0,20,0,0.0,4091,0x0000a4a8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,64,Attack,1
0.000974,9.202068,90,192.168.1.91,192.168.1.90,1883,54542,0x00000018,0.000974,36,262071,0.0,0.0,0.0,0.0,1,0,1,0,0,0,20,40:02:05:f6:40:02:05:f7:40:02:05:f8:40:02:05:f9:40:02:05:fa:40:02:05:fb:40:02:05:fc:40:02:05:fd:40:02:05:fe,4.0,511,0x0000a000,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2.0,0,4.0,0.0,0.0,0,0.0,0.0,0.0,6,128,Attack,1
2.3e-05,0.636773,66,10.16.120.72,10.16.120.44,1883,58082,0x00000010,2.3e-05,0,30,0.0,0.0,0.0,0.0,1,0,0,0,0,0,32,0,0.0,227,0x0000d258,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,64,Attack,1
1e-06,53.717285,62,192.168.1.91,192.168.1.90,1883,54548,0x00000018,1e-06,8,1199595,0.0,0.0,0.0,0.0,1,0,1,0,0,0,20,40:02:15:07:40:02:15:08,4.0,513,0x00007542,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2.0,0,4.0,0.0,0.0,0,0.0,0.0,0.0,6,128,Attack,1
0.0,266.854547,54,192.168.1.90,192.168.1.91,51735,1883,0x00000010,6e-05,0,3306,0.0,0.0,0.0,0.0,1,0,0,0,0,0,20,0,0.0,4095,0x000033c4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,64,Attack,1
2.4e-05,1760.818877,85,10.5.126.131,10.5.126.84,41505,1883,0x00000018,4.997855,17,63,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:32,17.0,512,0x00001119,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15.0,22.0,3.0,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,0
1e-06,45.940488,130,192.168.1.90,192.168.1.91,54545,1883,0x00000018,1e-06,76,15889,0.0,0.0,0.0,0.0,1,0,1,0,0,0,20,42:37:34:46:62:41:42:35:44:43:33:64:31:36:65:62:63:36:44:43:44:42:66:41:42:61:38:37:42:33:41:34:44:32:42:63:65:64:61:32:33:43:62:34:66:66:32:44:61:63:46:37:38:45:42:39:46:35:38:66:37:35:43:61:41:66:44:44:31:39:32:38:44:38:65:30,176.0,4096,0x00007cf5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0x0000003a,0.0,173.0,e6DbFAfbdF3CAB6AFc47cCe01F8AB74FbAB5DC3d16ebc6DCDBfABa87B3A4D2Bceda23Cb4ff2DacF78EB9F58f75CaAfDD1928D8e0,3.0,1.0,0.0,mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3462/10000,65.0,0.0,0.0,6,64,Attack,1
0.0,160.804022,54,192.168.1.90,192.168.1.91,51303,1883,0x00000010,6e-05,0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,20,0,0.0,4096,0x000088ee,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,64,Attack,1
5.6e-05,1819.031017,86,10.5.126.148,10.5.126.56,33571,1883,0x00000018,2.002266,18,65,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:10:00:0c:50:75:6c:73:6f:78:69:6d:65:74:65:72:35:37,18.0,512,0x0000110f,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,16.0,57.0,3.0,0.0,0.0,Pulsoximeter,12.0,0.0,0.0,6,64,patientMonitoring,0
7.000000000000001e-06,52.060856,54,192.168.1.90,192.168.1.91,54571,1883,0x00000010,7.000000000000001e-06,0,25201,0.0,0.0,0.0,0.0,1,0,0,0,0,0,20,0,0.0,4086,0x00000605,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6,64,Attack,1
