mqtt_topic,traffic_count,attack_count,attack_rate
0,44341,31010,69.94
EMG,11939,0,0.0
ECG,11883,0,0.0
AirFlow,11839,0,0.0
Pulsoximeter,11795,0,0.0
0.0,6448,6448,100.0
CoGas,2755,0,0.0
Smoke,2747,0,0.0
Fire,2728,0,0.0
Temperature,1775,0,0.0
Barometer,1663,0,0.0
SolarRad,1658,0,0.0
Humidity,1617,0,0.0
Topic1,1008,1008,100.0
Glucometer,93,0,0.0
InfusionPump,88,0,0.0
BloodPressure,86,0,0.0
///////,33,33,100.0
$SYS/#,33,33,100.0
/../../../../,32,32,100.0
$SYS/broker/version,31,31,100.0
#,29,29,100.0
$,26,26,100.0
$SYS/broker/retained messages/count,19,19,100.0
$SYS/broker/load/messages/received/1min,14,14,100.0
$SYS/broker/uptime,13,13,100.0
$SYS/broker/subscriptions/count,11,11,100.0
$SYS/broker/heap/current,7,7,100.0
$SYS/broker/publish/bytes/received,7,7,100.0
$SYS/broker/publish/messages/sent,5,5,100.0
$SYS/broker/publish/bytes/sent,5,5,100.0
$SYS/broker/publish/messages/received,4,4,100.0
$SYS/broker/bytes/sent,3,3,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/3999/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4336/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3324/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3501/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/2146/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2955/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/1493/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4696/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/2990/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/5010/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4112/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3933/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2946/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5642/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4558/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3081/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/1972/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2546/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/3557/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/3701/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4842/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2909/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/5168/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4905/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/1723/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4969/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4993/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/4237/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4120/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/2208/10000,2,2,100.0
$SYS/broker/messages/sent,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/2212/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5042/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5159/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3177/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2345/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/2287/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/3044/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4822/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2954/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/5083/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/3972/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/1668/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/4732/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-6/data/1901/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/3565/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4642/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/5696/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/2678/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5605/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/3834/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/4943/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/2986/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5570/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-3/data/3162/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-2/data/1704/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-11/data/1314/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-13/data/2399/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/6100/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5870/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/5741/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4094/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3649/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2564/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-10/data/3683/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3094/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1309/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2555/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4876/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-7/data/2855/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3533/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/5020/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5588/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-14/data/5524/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-1/data/1460/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-9/data/4980/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-5/data/3030/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-12/data/3543/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-4/data/4148/10000,2,2,100.0
mqtt-malaria/beem.loadr-MBP-di-Ivan-5.lan-54761-8/data/5122/10000,2,2,100.0
